MilestoneID,ProjectID,Name,PlannedCompletion,ActualCompletion,Status
1,1,Foundation,2024-11-25,2024-12-04,Delayed
2,1,Framing,2025-04-07,2025-04-26,Delayed
3,1,Plumbing,2025-08-18,2025-09-01,Delayed
4,1,Electrical,2025-12-29,2026-01-05,Delayed
5,1,Finishing,2026-05-11,2026-05-09,Delayed
6,1,Foundation,2026-09-21,,Completed
7,1,Framing,2027-02-01,2027-02-06,Delayed
8,2,Foundation,2023-04-02,2023-04-03,On Track
9,2,Framing,2023-06-11,2023-06-19,Completed
10,2,Plumbing,2023-08-20,,Completed
11,3,Foundation,2020-07-30,2020-08-07,Delayed
12,3,Framing,2020-09-02,2020-08-27,On Track
13,3,Plumbing,2020-10-06,2020-10-08,On Track
14,3,Electrical,2020-11-09,2020-11-14,Completed
15,3,Finishing,2020-12-13,2020-12-13,Delayed
16,3,Foundation,2021-01-16,2021-02-05,Completed
17,4,Foundation,2022-09-02,2022-09-06,Delayed
18,4,Framing,2023-02-05,2023-01-31,Completed
19,4,Plumbing,2023-07-11,2023-07-16,Completed
20,4,Electrical,2023-12-14,2023-12-24,Completed
21,4,Finishing,2024-05-18,2024-05-09,On Track
22,5,Foundation,2021-09-13,2021-09-04,Delayed
23,5,Framing,2021-12-09,2021-12-03,On Track
24,5,Plumbing,2022-03-06,2022-02-26,On Track
25,5,Electrical,2022-06-01,2022-05-28,Delayed
26,5,Finishing,2022-08-27,2022-08-18,Completed
27,5,Foundation,2022-11-22,2022-12-11,Delayed
28,5,Framing,2023-02-17,2023-02-28,On Track
29,6,Foundation,2022-09-02,2022-09-09,On Track
30,6,Framing,2022-10-19,2022-10-25,Completed
31,6,Plumbing,2022-12-05,,Completed
32,6,Electrical,2023-01-21,2023-02-01,On Track
33,6,Finishing,2023-03-09,2023-03-02,Completed
34,6,Foundation,2023-04-25,2023-04-19,Completed
35,7,Foundation,2024-10-11,2024-10-09,Delayed
36,7,Framing,2025-02-21,2025-03-08,Delayed
37,7,Plumbing,2025-07-04,2025-07-24,Completed
38,7,Electrical,2025-11-14,2025-11-11,On Track
39,7,Finishing,2026-03-27,2026-03-26,On Track
40,7,Foundation,2026-08-07,2026-08-17,Completed
41,8,Foundation,2021-09-10,2021-09-02,Delayed
42,8,Framing,2022-02-10,2022-02-17,Completed
43,9,Foundation,2023-06-07,2023-06-19,Delayed
44,9,Framing,2024-02-02,2024-02-19,Delayed
45,10,Foundation,2024-10-16,2024-11-02,Completed
46,10,Framing,2024-11-26,,On Track
47,10,Plumbing,2025-01-06,2025-01-24,Completed
48,10,Electrical,2025-02-16,2025-02-21,On Track
49,10,Finishing,2025-03-29,2025-04-09,Completed
50,10,Foundation,2025-05-09,2025-05-17,On Track
51,11,Foundation,2022-10-19,2022-10-09,Completed
52,11,Framing,2023-07-09,2023-07-03,Completed
53,11,Plumbing,2024-03-28,2024-04-13,On Track
54,11,Electrical,2024-12-16,2024-12-15,On Track
55,12,Foundation,2022-06-21,2022-07-07,Completed
56,12,Framing,2022-10-06,2022-10-24,Delayed
