ProjectID,CompanyID,ProjectName,Region,Status,StartDate,EndDate,PlannedDuration,PlannedCost,ActualCost,Revenue,SquareMeters
1,2,Grow Next-Generation Niches,Ashgabat,Completed,2025-03-01,2025-08-29,192,92431.26,95181.46,111691.65,4220
2,1,Utilize Web-Enabled Initiatives,Ashgabat,Completed,2020-12-01,2021-09-28,350,122544.21,117539.22,297905.37,9004
3,5,Architect Strategic Synergies,Tashkent,Completed,2023-06-24,2023-09-29,94,82897.52,48289.85,74555.69,2155
4,4,Engage Seamless Solutions,Qashqadaryo,Completed,2022-06-11,2022-07-31,51,106769.88,164393.01,129992.56,1467
5,5,Enhance 24/7 Vortals,Samarkand,Completed,2024-01-29,2024-07-09,167,58791.29,44369.9,122992.32,3125
6,5,Mesh Integrated Web Services,Navoi,Completed,2022-11-27,2023-03-07,84,87878.2,96310.19,50603.05,1958
7,1,Grow Innovative E-Tailers,Surkhandarya,Ongoing,2025-01-02,,199,63460.53,45561.71,,5302
8,4,Extend Out-Of-The-Box Portals,Fergana,Planned,,,164,103625.0,,,3421
9,6,Incentivize E-Business Communities,Khorezm,Completed,2024-04-04,2024-11-14,197,68564.71,42853.75,67572.63,5526
10,2,Cultivate Mission-Critical E-Markets,Andijan,Ongoing,2025-04-09,,223,65604.73,71089.76,,6248
11,4,Morph Leading-Edge Infrastructures,Qashqadaryo,Completed,2025-03-02,2025-04-29,58,116958.88,164830.13,403418.52,1856
12,4,Facilitate Magnetic Paradigms,Samarkand,Ongoing,2023-12-09,,74,87368.05,81270.32,,1657
13,6,Brand Frictionless Experiences,Khorezm,Completed,2024-09-13,2024-11-30,90,138180.22,114763.87,193204.59,2618
14,5,Integrate Virtual Web-Readiness,Namangan,Completed,2021-12-08,2022-07-25,196,130182.58,174272.64,188047.48,6018
15,7,Generate Viral Relationships,Navoi,Completed,2023-08-22,2024-09-30,431,84794.66,91725.84,136807.51,8913
16,8,Utilize Bleeding-Edge Supply-Chains,Bukhara,Planned,,,105,127567.74,,,2418
17,3,Matrix Synergistic Relationships,Andijan,Ongoing,2023-12-29,,112,74145.49,91638.47,,3021
18,8,Incentivize Intuitive Solutions,Dushanbe,Completed,2021-02-05,2021-04-14,79,81890.56,112568.45,164228.66,1693
19,2,Empower Web-Enabled Architectures,Ashgabat,Completed,2024-03-18,2024-08-03,117,113519.05,100962.03,126099.94,2057
20,6,Facilitate Frictionless Portals,Fergana,Ongoing,2024-05-08,,102,57930.31,60900.88,,2265
21,5,Monetize Best-Of-Breed Systems,Dushanbe,Completed,2020-09-28,2021-01-02,113,84883.63,86009.1,109521.86,2530
22,4,Morph Efficient Paradigms,Namangan,Completed,2022-07-02,2022-11-16,155,70210.45,106803.27,18626.83,3955
23,1,Seize Intuitive Markets,Qashqadaryo,Completed,2021-09-09,2022-01-25,117,99883.83,96909.01,125321.56,2926
24,5,Incubate Out-Of-The-Box Methodologies,Surkhandarya,Completed,2024-08-20,2024-12-25,130,107621.73,118145.62,449062.97,3682
25,2,E-Enable Back-End E-Markets,Bukhara,Ongoing,2024-07-25,,228,73818.51,103050.93,,5046
26,3,Transform Wireless Architectures,Namangan,Ongoing,2024-02-08,,139,182016.34,146043.71,,4495
27,3,Unleash One-To-One Synergies,Karakalpakstan,Planned,,,61,160027.61,,,2005
28,4,Strategize Seamless Mindshare,Jizzakh,Completed,2023-11-12,2024-08-17,235,118284.55,86718.89,77139.18,5495
29,6,Morph Impactful Bandwidth,Almaty,Ongoing,2024-05-13,,483,85090.56,70507.9,,8822
30,1,Seize Rich Experiences,Ashgabat,Completed,2025-01-24,2025-08-24,227,63225.49,39057.86,111372.23,5268
31,4,Facilitate Next-Generation Convergence,Bukhara,Completed,2023-05-03,2023-09-18,158,123068.95,154646.29,239854.14,3576
32,2,Facilitate Dot-Com Supply-Chains,Dushanbe,Ongoing,2023-07-07,,140,107843.22,121136.85,,3552
33,4,Embrace Holistic Interfaces,Ashgabat,Ongoing,2024-03-16,,64,102204.97,76223.06,,1808
34,8,Leverage Extensible Solutions,Surkhandarya,Planned,,,72,118550.34,,,1295
35,4,Optimize Revolutionary Initiatives,Fergana,Ongoing,2024-02-11,,278,73329.84,92066.72,,6708
36,1,Orchestrate Front-End Action-Items,Fergana,Completed,2021-07-28,2022-10-26,456,60024.58,52129.29,83543.1,11246
37,2,Integrate Strategic Models,Surkhandarya,Ongoing,2023-08-30,,237,139353.94,165063.35,,3785
38,8,Benchmark Innovative Interfaces,Surkhandarya,Completed,2020-05-14,2020-08-13,102,208302.21,162211.65,479726.01,2477
39,2,Disintermediate Intuitive Bandwidth,Samarkand,Completed,2021-09-26,2021-12-15,71,120608.53,149792.33,168511.5,2549
40,4,Matrix Holistic Info-Mediaries,Andijan,Completed,2023-03-16,2023-05-21,78,56803.26,66131.95,27616.93,1648
41,3,E-Enable Open-Source Info-Mediaries,Sirdarya,Completed,2024-10-13,2025-04-09,155,109148.38,121969.23,58208.71,3365
42,5,Enable Dynamic Experiences,Nukus,Completed,2023-11-27,2024-08-18,226,115171.44,79088.13,73875.35,3829
43,8,Enhance Plug-And-Play Action-Items,Namangan,Ongoing,2025-01-28,,202,113537.0,133833.09,,4275
44,1,Synergize 24/7 Architectures,Qashqadaryo,Completed,2025-01-05,2030-12-22,2501,144230.41,201412.11,162011.9,44219
45,3,Redefine Holistic Action-Items,Samarkand,Completed,2020-06-19,2021-02-28,248,101888.74,85914.76,1220571.1,5071
46,4,Extend Out-Of-The-Box Networks,Sirdarya,Completed,2025-03-11,2025-04-03,26,84342.65,94806.17,82281.72,807
47,4,Engineer Robust Web-Readiness,Samarkand,Ongoing,2024-10-11,,262,153749.38,166378.01,,6389
48,5,Generate Viral Niches,Khorezm,Completed,2024-06-26,2024-08-24,56,103554.03,180513.65,273313.81,1788
49,5,Deploy Ubiquitous Paradigms,Almaty,Completed,2021-01-11,2021-02-11,33,102580.42,88449.33,138018.02,722
